Words,AROU,VAL,DOM,CNC,IMAG
jumper (sweater),3.636,6,5.353,6.677,6.677
jungle,5.788,5.563,5.29,6.485,6.355
junk,3.242,2.735,4.743,5.088,5.571
jury,4.606,4.618,3.794,5.588,5.697
justice,6.143,7.514,6.206,2.971,3.571
justify,4.147,5.375,5.529,2.588,2.382
kangaroo,5.844,6.438,5.065,6.833,6.793
keen,5.909,6.903,6.156,2.667,3.147
keg,4.242,4.971,5.129,5.771,5.706
ketchup,4.088,5.394,5.424,6.429,6.118
key,4.206,6,6.114,6.382,6.4
key (crucial),5,6.677,5.871,3.182,2.774
key (keyboard),3.382,5.471,5.514,6.588,6.5
key (lock),4.188,5.514,6.281,6.531,6.606
key (musical),4.909,6.382,5.324,4.853,4.118
keyboard,3.844,5.281,5.419,6.75,6.75
keys,3.2,5.6,5.441,6.6,6.765
kick,5.71,3.182,5.714,5.581,5.829
kidnap,5.364,1.515,3.618,4.697,5.364
kidnapped,5.706,1.688,2.364,4.324,4.061
kidney,3.371,5.543,4.886,6.371,5.829
kids,5.394,6.909,5.5,6.412,6.469
kids (children),4.457,6.765,5.031,6.206,6.455
kids (goats),3.515,5.171,4.6,6.4,6.441
kill,5.086,1.486,4.371,4.229,5.457
killed,5.029,1.743,3.714,5,5.143
killer,6.303,1.303,4.875,5.394,5.333
kilt,4.853,5.686,5.943,6.743,6.514
kin,4.618,6.469,5.313,4.706,4.177
kind,5.531,7.758,6.467,2.879,3.485
kind (nice),5.697,8,5.969,3.226,3.516
kind (type),3.758,5.758,4.971,3.03,3.343
king,5.706,6.143,5.912,6.235,6.765
kingdom,5.818,5.818,5.219,4.219,4.813
kinky,7.531,6.219,5.727,3.303,4.438
kipper,2.75,5.133,5.258,6,5.581
kiss,8,7.914,6.242,5.686,6.515
kissing,7.727,7.606,6,5.576,6.273
kite,5.057,6.118,5.235,6.382,6.6
kite (bird),4.094,5.794,5.265,6.471,5.563
kite (toy),5.235,6.794,5.882,6.429,6.514
kitten,5.147,6.912,5.324,6.765,6.677
kiwi,4.686,6.029,5.441,6.529,6.765
kiwi (bird),3.6,5.485,5.303,6.429,6.059
kiwi (fruit),4.857,6.057,5.429,6.424,6.6
kiwi (New Zealander),5.063,5.742,5,5.161,5.1
kneel,4.455,5.147,4.286,5.657,5.743
knife,5.813,3.364,5.968,6.586,6.667
knifed,5.333,1.588,3.281,5.515,5.355
knight,5.424,5.909,5.455,5.241,5.903
knit,2.559,5.576,5.212,5.353,5.727
knock,4.875,4.833,5.387,5.807,5.625
knot,3.343,4.6,4.486,6.235,6.265
knots,3.424,4.177,4.294,6.152,5.971
knots (rope),3.969,4.546,5.091,6.061,6.455
knots (speed),4.25,5.333,5.394,3.788,2.727
know,5.129,6.594,7.097,2.161,2.469
knowledge,7.129,8.156,7.226,2.387,2.781
knuckle,4.059,4.571,5.771,6.438,6.03
knuckles,3.879,4.394,5.647,6.5,6.758
koala,5.844,6.936,5.29,6.8,6.75
label,3.714,4.6,4.029,5.314,5.636
lace,4.879,5.829,4.543,6.353,6.143
laced,5.457,5.118,5.2,4.235,5.029
laces,4.029,5.171,4.857,6.429,6.429
lacking,2.875,2.625,3.061,2.606,2.485
lad,4.543,5.029,5.382,5.057,5.371
ladder,3.412,5.515,5.394,6.588,6.543
ladies,5.735,6.406,4.939,6.323,6.382
lady,5.382,6.571,5.727,6.353,6.618
ladybird,4.2,6.714,5.235,6.667,6.8
lager,5,5.813,5.364,5.844,6
lagoon,5.697,6.061,5.323,6.147,6.177
lake,4.303,6.333,5.324,6.548,6.71
lamb,4.485,6.2,4.813,6.531,6.844
lamp,3.294,5.424,5.156,6.531,6.774
lance,4.433,4.2,5.321,4.8,4.556
land,3.922,5.939,5.766,6.175,5.918
landing,4.029,5.471,5.171,4.8,4.943
landing (plane),4.546,5.879,5.03,5.471,5.971
landing (stairs),3.294,5.147,5.156,6.343,6.229
landscape,5.03,6.364,5.697,5.714,6.177
lane,3.743,5.2,4.546,5.647,5.794
language,4.938,6.71,5.844,3.394,2.484
lantern,4.875,6.057,5.6,6.546,6.571
lapel,2.929,5.214,4.793,5.414,4.692
large,5.75,6.031,5.969,2.969,4.25
lark,3.828,5.032,5.035,5.448,4.807
lark (bird),3.8,6.438,5.258,6.548,5.621
lark (fun),5.938,7.313,6.344,3.469,4.375
last,3.29,3.938,4.294,3.727,3.546
latent,2.867,4.414,4.2,3.097,2.8
laugh,7.471,8.412,7,4.206,5.618
laughter,7.375,8.219,6.581,4.364,5.188
launch,5.516,6.061,6.188,3.313,3.909
lavish,6.688,6.813,6.188,3.063,4.281
law,3.6,5.406,3.548,3.613,3.133
lawn,2.968,5.387,5.032,6.3,6.226
lawsuit,4.543,3.118,3.629,5.114,3.629
lawyer,4.333,5.212,5.412,6.382,6
lazy,2.939,3.029,5.118,3.735,4.788
lead,4.25,5.686,6.057,4.294,4.286
lead (direct),4.941,5.706,6.457,3.6,4.382
lead (heavy metal),3.2,4.371,5.114,6.543,5.457
lead (leash),4.091,4.758,4.606,6.061,6.182
leader,6.057,6.824,7.771,4.706,5.029
leaf,3.543,5.735,5.412,6.324,6.314
leaflet,3.441,5.063,4.765,6.031,6.281
league,3.844,5.429,5.242,4,3.677
lean,4.257,5.571,5,4.091,4.147
lean (skinny),4.758,5.212,4.424,4.455,5.281
lean (tilt),3.647,4.735,4.912,4.455,5.242
learn,6,7.514,6.516,3.314,3.606
learning,5.645,7.727,6.839,3.531,4.091
least,2.8,3.514,3.829,3.294,2.4
leather,4.677,5.206,5.677,6.412,5.912
leaves,3.943,5.441,5.514,6.429,6.457
lecture,2.97,4.235,4.294,5.206,5.618
lecturer,3.657,5.677,4.257,6.314,6.265
ledge,3.531,4.485,4.629,5.2,5.294
leg,4.5,5.371,5.686,6.543,6.657
leg (component),3.438,5.645,5.594,6,5.387
leg (limb),4.371,5.559,5.657,6.882,6.8
legal,3.849,5.029,3.364,4.242,3.182
legend,5.794,7.618,6.412,3.546,3.485
legend (key),3.482,5.379,4.852,4.926,4.704
legend (tale),6.086,6.943,5.829,3.382,4.441
leggings,3.849,4.97,5.029,6.212,6.314
legion,5.25,5,4.6,4,3.969
legislation,3.121,4.576,3.688,4.156,3.394
legislator,3.313,4.094,4.719,5.094,4.364
legs,5.5,5.656,6.2,6.867,6.741
leisure,5.765,7.235,6.029,3.457,4.177
lemon,4.966,5.5,5.267,6.742,6.655
lemonade,4.688,6.419,5.724,6.29,6.241
lend,3.906,5,4.667,2.788,2.774
length,4.032,5.258,5.393,3,3.219
leopard,5.75,5.636,5,6.727,6.824
leprosy,3.645,2.353,3.156,6.032,5.031
lesbian,6.059,5.486,5.735,5.177,5
lesson,5.114,5.771,4.824,4.829,5.412
letter,4.686,5.8,5.2,6.286,6.412
letter (alphabet),2.576,5.485,5.515,5.212,5.909
letter (correspondence),4.5,5.618,5.8,6.057,5.882
letters,4.061,5.529,6.182,5.429,5.824
letters (alphabet),3.515,5.303,5.441,5.688,6.156
letters (correspondence),4.057,5.576,5.424,5.515,6.147
lettuce,2.556,5.486,5.353,6.743,6.794
liar,5.424,2.063,4.625,3.333,3.75
liberty,5.853,7.273,6.879,2.647,2.939
librarian,3.688,5.8,4.531,6.182,6.226
library,3.625,5.844,5.531,6.656,6.667
lice,3.742,2.3,3.645,6.4,5.807
lid,2.677,5.177,5.171,6.455,6.206
lie,5.606,2.333,5.364,2.941,2.909
lie (position),3.857,5.543,4.8,4.914,5.457
lie (untruth),4.647,2.059,4.382,3.382,2.824
lies,5.226,2.194,3.5,2.516,2.742
lies (position),3.941,4.886,4.758,4.629,5.515
lies (untruths),4.936,1.788,4.088,3.029,3.029
life,6.735,7.303,6.235,2.719,3.061
lift,4.514,5.571,5.294,5.059,4.886
lift (elevator),3.531,5.313,4.875,6.688,6.645
lift (raise),4.143,6,6.294,4.829,5.265
light,5.656,7.188,5.933,4.968,5.688
light (brightness),6.294,7.457,5.546,5.303,6.161
light (weight),3.677,5.647,4.5,4.086,4
lightbulb,3.281,5.625,5.355,6.781,6.719
lighthouse,3.853,6.6,5.2,6.486,6.794
lighting,5.219,6.088,5.765,5.516,5.343
lightning,7.032,4.875,3.939,6.03,6.765
lights,5.5,6.697,5.735,5.941,6.606
like,5.5,7.371,5.906,3.059,3.118
like (love),6.735,7.706,5.5,2.941,3.824
like (similar to),3.382,5.559,5.121,2.727,2.636
lilac,4.379,5.875,4.839,5.133,5.484
limb,3.588,5,5,6.371,6.114
limb (body),3.824,5.343,5.914,6.714,6.441
limb (tree),3.303,5.455,5.061,6.265,6.061
limber,4.645,5.5,5.516,4.133,3.938
lime,4.767,5.226,5.3,6.452,6.539
limit,3.543,4.147,3.4,2.824,2.529
limited,4.161,3.273,3.03,2.455,2.469
limousine,5.143,6.353,6.03,6.543,6.257
limp,3.343,3.706,4,4.719,4.844
line,3.313,5.029,4.735,5.529,6.114
linear,3.194,5.5,4.618,3.857,3.971
link,3.879,5.485,5.531,3.485,4.25
lion,6.727,5.641,5.492,6.8,6.887
lioness,6.647,5.8,5.469,6.559,6.667
lip,5.29,5.625,5.636,6.375,6.813
lips,6.844,6.367,5.344,6.786,6.586
lipstick,5.29,5.688,5.258,6.517,6.704
liquid,4.177,5.382,4.941,6.118,6.086
liquor,6.206,4.909,4.941,6.324,6.265
list,3.088,5.343,5.03,5.343,5.771
listless,3.219,4.063,4.25,2.807,3
literature,5.879,6.971,5.853,5.382,5.5
litre,3.382,5.212,5.177,5.618,5.353
litter,3.257,3.257,5.086,5.824,6.029
litter (animal babies),4.758,7.125,4.936,6.5,6.161
litter (trash),3.029,3.147,5.588,6.576,6.471
little,3.406,4.667,4.531,3.97,4.242
live,6.344,7.618,6.636,4.4,4.546
live (not recorded),6.25,6.5,5.606,4.531,4.563
live (to exist),6.758,7.914,7.118,4.091,4.353
lively,6.656,7.588,6.971,3.546,4.529
lizard,4.697,5.029,5.531,6.606,6.765
llama,3.735,5.765,5.206,6.647,6.677
load,4.229,4.971,5.382,4.235,4
loaf,3.742,5.656,5.182,6.29,6.323
loaf (be lazy),2.818,3.281,4.879,3.333,4.03
loaf (bread),3.086,5.686,5.118,6.844,6.939
loan,3.667,3.686,3.394,4.4,3.6
lobster,4.914,5.294,5.257,6.771,6.677
locate,4.514,5.588,5.343,3.886,3.471
location,4.303,5.333,5.394,4.636,3.576
lock,4.086,4.735,5.118,6.143,6.257
lock (door),4.314,4.882,5.242,6.206,6.171
lock (hair),4.177,5.469,5.382,5.742,6.194
locker,2.788,5.029,5.152,6.371,6.314
locket,4.457,6.412,5.485,6.353,6.714
log,3.219,5,4.818,6.25,6.188
log (record),3.118,5.088,5.273,4.971,4.588
log (wood),3.364,5.314,5.645,6.382,6.455
logs,3.303,4.818,5.226,6.563,6.546
logs (records),2.5,5.121,5.177,5.471,5.029
logs (wood),3.424,5.735,5.618,6.75,6.529
loins,5.625,5.094,5.29,5.313,4.906
lonely,3.625,1.844,3.219,2.727,3.484
long,4.059,4.882,5.314,3.657,4.294
long (not short),4.206,5.206,5.294,4.235,5.029
long (yearn),5.273,4.441,3.906,2.429,3.294
longing,4.909,4.303,3.971,2.429,3.235
loop,4.2,5.314,4.765,4.576,5.529
loophole,3.688,4.129,4.936,2.563,2.71
loose,3.793,4.303,4.75,3.313,3.813
lord,5.094,4.515,4.333,4.485,4.097
lorry,3,4.629,5.457,6.813,6.829
lose,3.909,2.618,3.719,3.818,3.469
loser,3.559,2.412,3.235,3.029,3.559
lost,4.156,3.031,2.742,3.5,4.25
lottery,5.543,6.333,4.088,5.086,4.879
loud,5.588,4.4,5.588,4.324,3.849
louse,3.533,3.281,4.548,5.387,5.258
lousy,3.5,2.559,3.912,2.471,2.765
lovable,6.765,8.294,5.629,3.229,4.364
love,8.147,8.647,5.303,2.849,4.471
lovely,6.382,7.794,5.706,3.265,4
lover,7.441,8.029,5.486,4.471,5
loving,7.229,8.6,6.257,2.571,4.771
low,3.353,3.286,3.743,3.886,3.771
loyal,6.242,8.156,5.849,3.091,3.091
loyalty,5.629,8.206,6.2,2.314,2.971
lubricant,6.294,6,5.719,5.6,5.324
lubricate,5.727,5.206,5.091,4.813,4.333
luck,6.849,7.914,4.882,2.206,3.441
lucky,6.625,8.097,5.375,2.258,2.656
luggage,3.382,5.206,5.457,6.588,6.5
lumber,3.355,4.633,5.094,5.065,4.719
lumber (move slowly),2.441,3.382,3.515,4.091,4.912
lumber (wood),3.657,5.229,5.606,6.314,6.029
lump,3.375,3.813,4.344,5.697,5.546
lunch,5.029,6.152,5.629,5.606,5.914
lunching,4.188,5.906,5.621,4.438,4.636
lungs,4.371,6.441,5.118,6.559,6.529
lure,5.273,3.303,3.971,2.941,2.941
luscious,6.938,7.382,5.706,2.912,4.394
lush,5.059,6.939,5.382,2.8,3.177
lust,7.353,5.543,4.743,2.794,4.171
luxury,6.333,7.839,5.871,3.355,5.063
lynx,4.645,5.75,5,6,5.97
lyrics,6,6.133,5.1,4.438,4.438
macabre,4.625,3.833,4.958,3.478,3.864
macaroni,4.645,6.313,5.194,6.633,6.516
machine,3.265,4.939,5.061,6.441,6.333
mad,5.813,2.781,5.4,3.031,4.656
mad (angry),6.571,2.2,5.765,3.647,5
mad (crazy),6.029,3,4.273,2.906,4.529
madman,6.065,2.091,4.303,4.563,6.088
madness,6.059,2.677,3.059,1.97,3.324
magazine,5.118,5.382,4.906,6.742,6.484
magazine (ammunition),4.486,3.735,5.706,6.057,5.286
magazine (publication),4.735,5.677,5.353,6.441,6.294
maggot,3.471,2.559,4.824,6.794,6.485
magic,6.576,6.686,5.343,2.171,4.941
magical,7.486,8.086,6,1.886,4.257
magnificent,7.353,8.457,6.943,2.514,3.943
magnitude,5.273,5.333,6.281,3.182,2.758
maid,3.971,4.714,3.971,6.171,6.114
maiden,4.765,5.394,4.219,5.314,5.543
maids,4.333,4.938,4.455,5.936,6.156
mail,3.667,5.571,5.061,5.818,6.286
main,4,5.4,6.177,3.343,2.794
maize,3.258,5.207,5.097,5.774,5.3
major,5.645,5.879,6.313,3.273,3.242
majority,4.6,5.939,5.905,3.692,3.844
make,4.765,6.324,7,3.677,3.939
malady,4.286,4.048,4.091,3.65,3.44
malaria,4.177,1.677,3.114,5.576,4.229
malice,5.394,2.441,4.735,2.788,2.625
malicious,5.912,1.849,4.714,3.057,3.143
mall,3.807,4.788,4.719,6,5.5
mallet,3.824,4.147,5.294,6.5,6.177
mammal,4.118,5.824,6.152,6.294,6.2
mammoth,4.063,5.188,5.588,6.412,6.177
man,5.657,5.486,6.029,6.088,6.629
management,2.75,5.406,5.655,3.818,3.742
manager,3.294,4.886,4.941,5.618,5.735
mangle,4.903,3.031,4.267,4.4,4.433
maniac,5.353,2.382,3.909,3.909,4.667
manic,6.219,3.091,4.645,2.938,3.879
mankind,5.424,6.097,5.152,3.394,3.219
manner,3.235,5.8,4.657,3.314,2.765
mansion,5.969,6.645,6.719,6.621,6.419
manure,3.2,3.613,4.484,6.194,5.871
many,4.636,5.765,5.182,4.129,4.606
marital,5.03,6.294,4.912,3.156,3.647
mark,3.667,4.618,4.794,4.971,4.677
mark (grade),5.143,5.941,5.4,5.029,5.029
mark (smudge),3.152,4.059,4.939,5.882,6.029
market,3.735,5.257,5.152,5.75,6.182
marquee,4.656,5.882,5.121,6.206,5.941
marriage,6.229,7.114,4.657,4.857,5.853
married,6.429,7.343,4.486,4.971,5.657
marry,5.97,6.97,4.667,4.636,5.121
marsh,3.229,4.314,4.571,5.6,5.314
marshal,3.313,4.606,4.485,5.273,4.546
martial,4,4.548,4.645,3.786,3.767
marvel,6.147,7.314,5.75,2.849,3.514
mask,4.147,4.857,5.818,6.029,6.486
mask (cover),4.879,3.875,4.613,5.032,5.258
mask (face),4.206,4.618,4.879,5.941,5.794
mass,3.853,5,5.375,4.486,3.606
mass (large number),4.375,5.424,5.364,4.182,4.061
mass (religious),2.765,4.471,3.343,4,4.559
mass (weight),4.353,4.735,5.324,4.636,3.765
massacre,6.257,1.314,3.829,4.943,4.714
massive,5.882,5.794,5.758,3.529,5
mast,3.367,5.219,5.807,6.094,5.758
master,5.767,6.031,6.097,4,3.387
masturbate,6.333,5.212,5.914,5.412,5.5
masturbation,6.171,5.514,6.657,4.559,5.429
match,4.5,5.258,4.968,4.719,4.625
match (fire),5.647,4.971,5.714,6.514,6.529
match (game),5.219,6.029,5.156,5.471,5.194
match (pairing),4.469,6.029,5.118,4.091,4.364
matches,4.375,4.939,5.452,6.156,6.333
mate,5.771,7.143,5.971,4.543,4.824
mate (copulate),7.129,6.559,6.152,5.364,5.406
mate (friend),6.147,7.706,6.235,5.727,5.909
material,3.824,5.441,5.394,5.606,5.382
mates,5.853,7.853,6.844,5.546,5.706
mathematics,4.364,5.353,5.667,4.727,5.206
matrix,5.273,5.235,4.563,2.849,3.25
matron,2.879,4.882,4.152,5.765,5.088
mattress,4.412,5.765,5.743,6.8,6.629
mauve,3.758,5.121,4.909,4.094,4.968
maximum,5.939,6.625,6.303,3.424,3
maze,5.088,4.813,3.5,5.594,6.031
meadow,4.229,6.5,4.794,6.057,6.353
meagre,2.677,3.4,3.862,2.714,2.645
mean,4.235,2.576,4.212,2.906,3
mean (average),3,5.029,4.546,4.294,2.943
mean (intend),4.229,4.143,6.143,2.806,2.559
mean (nasty),5.455,1.625,4.727,2.909,3.879
mean (stingy),4.061,2.094,3.818,2.97,3.75
measles,3.968,2.171,3.091,5.382,5.364
measure,4.125,5.094,5.194,3.807,3.813
meat,4.294,4.97,5.971,6.343,6.441
mechanic,3.455,5.529,4.912,6.177,5.971
mechanism,4.257,5.371,5.543,4.971,3.941
medal,6.147,7.647,6.529,6.471,6.618
medallion,4.424,5.941,5.697,6.114,6.265
meddle,4.697,3.807,4.941,2.912,3.294
medicine,5,7.171,4.794,5.364,5.765
medieval,4.406,5.406,4.936,4.273,4.758
medium,3.882,5.029,4.971,3.242,2.943
medium (intermediate),3.727,5.029,5.121,3.219,2.788
medium (spiritualist),4.333,4.909,4.406,3.818,4.515
meek,2.5,4.133,3.367,3.333,3.7
meet,4.571,6.088,5.353,4.314,4.324
meeting,4.2,5.457,5.294,4.688,4.943
melody,6.206,7.606,5.794,3.242,4.394
melon,4.484,5.939,5.419,6.71,6.69
melt,4.647,4.879,4.324,4.412,5.152
melted,4.438,4.571,4.727,4.543,5.429
memoirs,4.788,5.758,5.529,4.515,4.364
memory,5.057,6.576,5.457,2.853,3.121
menace,5.576,2.571,5.088,3.343,3.857
merchant,3.936,5.4,5.188,5.161,4.875
merciful,5.273,7,5.543,2.543,3.4
mercy,4.971,6.229,4.371,2.714,3.229
mermaid,6.194,6,5.281,4.069,5.968
merry,6.438,7.727,6.406,2.758,3.613
mess,4.156,2.818,4.182,4.333,5.606
message,4.743,5.471,5.543,5.171,4.857
messenger,4.382,5.667,5.029,5.143,4.857
messy,4.706,3.242,5.188,4.448,5.606
metal,4.5,5.097,5.419,6.214,5.903
methane,3.273,4.2,4.677,5.429,3.714
method,3.441,5.686,5.457,3,2.882
metre,3,4.969,4.758,5.219,5.273
metric,3.441,5.152,5,4.441,2.735
metropolis,5.194,5.867,5.156,4.727,5.125
mice,3.688,4.375,5.387,6.719,6.818
microphone,4.294,5.353,5.765,6.529,6.6
microscope,4.333,5.735,6.206,6.559,6.412
microwave,3.588,5.571,5.647,6.714,6.618
middle,3.882,4.906,4.97,4,4.353
midget,3.588,3.818,4.177,5.857,6.061
midst,3.242,5.065,4.706,2.912,3.029
midwife,3.257,6.714,4.559,6.294,5.912
might,4.152,5.469,5.781,2.281,2.548
might (possibly),4.229,4.971,4.714,2.118,2.182
might (strength),6.188,7.206,7.375,4,4.455
mighty,5.424,6.794,6.788,2.971,3.758
mild,2.75,5.531,3.936,3.531,3.212
mildew,2.69,4.138,4.667,5.233,4.667
mile,3.818,5.177,5.125,5.235,4.273
mileage,3.742,4.515,4.939,4.419,3.242
military,4.765,3.794,4.324,5.618,5.912
milk,3.529,5.771,5.091,6.794,6.543
mill,3.586,5.065,4.9,6.1,5.759
million,6.242,6.588,6.029,4.941,4.273
millionaire,6.794,7.265,6.647,5.667,5.844
mimic,3.824,4.471,5.029,3.686,3.771
mind,5.903,6.844,6.355,2.469,2.419
miner,3.686,5,4.765,6.029,6.273
mingle,5.6,6.629,5.771,3.829,4.257
minimum,2.688,3.879,3.636,3.156,2.645
minister,3.529,5.091,5.343,5.543,5.514
mink,3.546,4.774,5,5.364,4.818
minor,3.627,4.277,3.91,3.554,3.364
minority,3.788,3.571,3.618,3.03,3.629
mint,4.406,6.063,5.258,6.3,6.097
mint (food),4.5,5.657,5.706,6.486,6.294
mint (money),5.71,6.424,6.219,4.879,4.867
minute,3.636,5.353,4.765,4.182,3.441
minute (small),3.667,4.677,3.818,4.086,4.618
minute (time),4.031,5.156,4.5,4.152,4
miracle,6.941,7.971,4.086,2.324,2.853
miraculous,6.412,7.618,5.559,2.265,2.559
mirage,5.303,5.03,3.875,2.788,3.849
mirror,4.382,5.118,5.063,6.588,6.471
mischief,6.328,4.333,5.765,2.729,4.118
mischievous,6.629,4.543,6.441,2.912,3.857
misconception,3.906,3.281,3.667,2.156,1.929
miser,3.125,3.778,4.458,3.917,3.708
miserable,3.314,1.706,3.147,2.563,4.094
misery,3.273,2.147,3.265,2.735,4.182
missile,5.469,2.344,5.233,6.156,6.281
mission,5.771,5.8,6.5,3.971,4.152
mistake,4.559,2.618,3.515,3.394,3.429
mistress,5.441,3.455,5.118,5.242,5.412
mob,5.177,3.059,4.091,5.177,5.529
mobility,4.4,6.647,5.697,3.529,4
mock,4.206,2.882,3.765,3.088,3.636
mode,3.514,5,4.882,3.061,2.636
model,5.065,5.824,5.029,5.324,5.629
modest,3.882,6.794,5.265,2.571,3.4
moist,5.257,4.882,4.941,4.971,4.657
moisture,5.375,5.161,4.688,5.031,4.968
mole,2.406,4.849,4.875,6.303,6.25
mole (animal),3.086,5.314,4.514,6.677,6.543
mole (skin),3,4.206,4.412,6.171,6.086
mole (spy),4.844,3.258,4.677,4.484,4.516
molecule,3.443,5.338,4.162,5.412,4.429
Mom,5.667,7.936,4.813,6.424,6.25
moment,4.813,5.813,5.719,2.3,2.645
momentum,5.971,6.424,5.765,3.412,3.576
monarch,4.059,5.324,4.818,5.286,5.818
monarchy,3.742,4.419,3.807,5.394,5.576
money,6.563,5.667,4.636,5.032,6.2
monk,3.125,5.29,3.938,6.133,6.071
monkey,5.353,6.057,5.257,6.559,6.794
monster,6.121,2.735,4.273,3.882,5.971
month,3.343,5.286,4.765,4.057,3.4
monument,4.239,6.149,5.254,6.348,6.353
mood,4.906,5.313,4.882,2.6,2.765
moody,3.886,2.6,4.882,3.029,4.029
moon,5.375,6.548,4.633,6.656,6.781
mooring,3.48,5.138,5.107,4.655,4.621
moose,3.735,5.471,4.781,6.594,6.212
moral,4.563,6.971,5.909,2.294,2.656
morality,4.625,6.344,6.065,1.767,2.636
morbid,4.229,2.171,4.088,2.6,3.303
morgue,4.182,2.324,3.091,6.182,5.706
morsel,3.531,3.903,3.903,4.172,4.807
mosque,4.069,5.267,3.871,6.375,6.258
mosquito,4.625,3.046,4.231,6.594,6.635
moss,3.118,4.857,5.242,6.118,5.657
most,4.667,5.706,5.563,3.324,3.063
moth,3.394,4,4.813,6.625,6.8
mother,5.143,8.314,4.914,6,6.594
motherfucker,6.636,2.571,6.4,2.765,2.943
motion,5.529,5.5,6.143,3.857,4.4
motor,3.941,5.343,5.571,6.086,6.029
motorbike,5.879,5.469,6.5,6.758,6.788
motorway,5,4.903,5.091,6.621,6.258
mould,3.5,3.333,4.3,5.517,5.516
mound,4.097,4.433,4.774,5.438,5.448
mount,5,5.246,5.91,4.338,4.323
mountain,5.774,6.156,5.844,6.862,6.833
mountains,6.088,6.735,5.5,6.853,6.794
mounted,5.061,5.412,5.094,4.355,4.849
mouse,3.71,4.882,5.121,6.788,6.686
mouth,6.194,5.448,5.563,6.714,6.69
move,4.912,5.361,6.371,4.441,5.028
movie,5.759,6.484,4.839,5.643,5.393
muck,3.906,3.281,4.667,5,5.406
mucous,2.971,3.125,4.412,5.75,5.647
muddy,4.313,4.152,4.857,5.303,5.908
muffin,5.219,6.576,5.563,6.75,6.781
mug,3.059,4.971,5,6.424,6.485
mug (cup),3.375,5.647,5.912,6.794,6.735
mug (face),3.6,4.647,5.229,5.771,5.8
mugged,4.471,1.97,2.647,4.091,4.765
mule,2.922,4.769,4.879,6.5,5.939
multiplication,4.206,5.364,5.206,4.2,4.206
multiply,4.229,5.647,6,3.824,3.314
Mum,4.594,7.938,4.219,6.091,6.625
mumble,3,4.143,4.765,3.697,3.886
Mummy,5.364,7.471,4.879,5.794,6.515
mural,3.355,5.906,5.567,5.645,5.033
murder,5.871,1.531,4.161,5.469,5.5
murderer,6.294,1.235,4.143,5.971,5.6
murmur,3.636,4.235,3.886,4,3.343
muscle,5.188,6.088,6.441,6.5,6.412
muscular,5.818,6.485,6.613,5.313,5.645
museum,4.132,6.279,5.188,6.537,6.449
mushroom,3.879,5.364,4.971,6.647,6.849
mushroom (expand),3.5,4.8,5.267,4.167,4.774
mushroom (food),3.353,5.029,5.088,6.6,6.529
music,7.771,7.971,7.086,5.286,5.265
musical,5.742,6.5,5.323,4.138,4.625
musician,6.097,6.625,5.719,5.367,5.667
musket,4.31,3.733,5.3,6.31,5.833
musketeers,4.758,6.03,5.788,5.219,5.818
mussel,3.618,5.177,4.941,6.324,6.235
mustang,4.914,5.576,5.794,6.029,5.588
mustard,3.412,4.719,5.364,6.094,6.455
mutation,4.818,3.114,3.594,4.091,4.314
mutilate,5.667,2.111,4.515,4.486,4.818
mystery,6.546,5.303,4.515,2.727,3.161
mystic,5.706,5.242,5.273,2.324,3.382
myth,6.147,5.029,4.516,1.879,3.194
mythology,5.03,5.606,5.091,2.515,3.484
nail,3.656,4.733,5.548,6.429,6.185
nail (finger),3.618,5.257,5.257,6.618,6.686
nail (hammer),4.333,4.765,5.939,6.559,6.667
naive,4.438,3.531,3.065,2.406,2.656
naked,7.133,5.469,3.906,5.063,5.69
name,4.286,5.324,5.543,4.6,3.743
named,3.088,5.091,4.424,3.353,2.235
namesake,3.771,5.152,4.625,2.714,2
nanny,3.794,5.75,3.75,5.807,5.667
narcotic,4.882,3.182,4,3.829,3.882
narrow,3.971,3.857,3.515,4.2,5.4
nasty,4.091,1.742,5.484,2.546,3.424
nation,4.618,5.857,4.5,4.2,4.647
national,4.546,5.943,4.844,3.563,3.333
natural,4.818,7.088,5.147,3.629,4.118
nature,5.406,7.156,5.194,4.531,5.576
naughty,6.629,3.8,5.853,3.314,4.382
nausea,4.394,2.727,3.03,4.438,4.206
naval,4.156,5,5.294,5.188,4.824
navel,3.242,5.03,4.971,6.059,5.706
navy,4.971,5.441,5,5.629,5.914
near,4.546,5.559,5.212,3.735,4.242
neat,3.229,6.265,5.686,4.147,4.824
necessary,3.818,5.086,4.771,2.686,2.514
necessity,5.807,5.156,4.419,2.273,2.688
neck,5.433,5.367,5.424,6.63,6.581
necklace,5.2,5.743,6.029,6.714,6.543
nectar,5.314,6.6,5.571,5.971,5.371
need,5.344,3.788,3.333,3.091,2.758
needle,4.829,3.677,4.486,6.714,6.429
needy,3.382,2.441,3.114,2.714,3.2
negative,4.061,1.735,3.735,3.581,2.849
neglect,4.576,1.571,3.188,2.794,4.057
neglected,4.364,1.528,2.588,2.972,4.257
negotiate,5.063,6.212,6,3.303,3.188
negotiation,4.559,6.03,6.177,3.618,3.667
negotiator,5.059,6.6,6.594,3.971,4.182
neighbour,4.576,6.061,5.419,5.807,5.71
neon,6.029,6,5.114,4.706,5.4
nephew,3.235,6.353,5.529,5.941,4.941
nervous,5.114,3.029,2.647,3.486,4.514
nest,3.925,5.855,5.136,6.382,6.537
