Words,AROU,VAL,DOM,CNC,IMAG
teaspoon,3.182,5.343,5.143,6.686,6.618
technical,3.714,5.171,4.788,3.486,3.457
technicality,4.171,4.257,4.429,2.971,2.4
technician,3.094,5.515,5.031,5.849,5.75
tedious,2.912,2.771,4,2.657,2.657
teeth,4.548,5.433,5.233,6.621,6.714
telephone,4,5.382,5.486,6.485,6.559
telescope,4.735,5.758,5.546,6.267,6.742
television,4.969,5.686,5.353,6.546,6.882
temerity,4.077,4.25,4.333,3.091,2.412
tempest,5.923,3.462,4.654,3.917,3.346
temple,4.529,5.706,4.735,5.794,6.088
temple (forehead),3.941,5.235,5.516,6.182,6.559
temple (worship),4.455,5.697,4.424,6.188,6.353
tempo,4.771,5.514,5.4,3.706,2.829
tempt,6.029,4.177,4.735,2.727,3.344
temptation,6.914,4.294,4.353,2.743,3.571
tendency,3.824,4.765,4.938,2.677,2.382
tender,5.303,7.061,4.758,2.677,3.727
tender (sensitive),5.286,5.879,4.429,2.914,3.265
tender (soft),6.257,7.086,5.324,3.265,3.886
tennis,4.677,5.871,5.636,6.031,6.742
tense,4.114,3.571,4.094,3.091,3.794
tense (strained),5.147,2.971,3.97,3.515,4.129
tense (verb),3.515,4.303,4.727,3.088,2.969
tension,5.625,3.364,4.065,3.161,4.031
tent,3.629,4.857,5.429,6.457,6.588
tepid,2.871,4.035,4.742,2.867,2.667
termite,3.406,3.412,4.971,6.546,5.629
terrible,6.031,1.697,3.871,2.313,2.667
terrific,7.121,8.394,6.886,2.344,3.156
terrify,6,1.941,3.882,2.412,3.588
terrifying,5.457,1.824,3.857,3.029,4.171
terror,5.794,1.677,3.118,2.853,4.353
terrorist,5.735,1.543,4.294,5.333,6
test,4.242,3.514,4.343,5.286,4.771
text,4.529,5.371,5.571,5.8,6.086
text (phone message),5.514,6.114,5.914,5.886,6.229
text (written work),3.606,5.546,5.485,5.879,5.97
texture,4.4,5.543,5.286,4.8,4.686
thank,5.156,7.469,5.355,3.156,2.969
thankful,5.629,7.6,6.212,2.4,3.206
thanks,5.5,7.515,5.818,3.219,3
theatre,6.121,6.636,5.419,6.059,6.371
theatrical,6.606,5.971,5.882,3.306,4.971
thematic,4.261,5.25,5.044,2.81,2.667
theme,4.697,5.515,5.129,3.188,3.25
theologian,3.5,5.222,5.214,4.704,4.393
theology,4.226,5.03,3.939,2.5,2.71
theoretical,3.727,5.656,4.75,2.061,1.968
theory,4.257,6.118,5.286,2.912,2.714
therapist,4.588,5.471,4,5.5,5.576
therapy,4.743,6.235,3.794,3.853,4.4
thermometer,3.706,4.941,4.853,6.559,6.441
thesaurus,3.758,5.912,5.4,6.086,6.242
thick,3.394,4.303,4.909,4.471,4.294
thicket,3.688,4.897,4.906,5.103,4.821
thief,6.156,2.182,3.781,5.031,4.719
thigh,4.75,5.167,5.533,6.375,6.606
thighs,5.714,5.429,5.371,6.657,6.706
thimble,3.594,5.2,4.567,6.345,5.933
thin,3.758,4.636,4.688,3.969,5.656
thinner,4.765,5.206,4.618,4.543,4.879
third,3.567,4.807,4.613,3.188,3.548
thirst,4.969,3.75,3.774,4.844,4.576
thirsty,4,3.618,3.853,4.529,4.343
thistle,4.733,5.645,5,6.633,6.103
thorn,4.5,3.324,4.242,6.242,5.97
thought,5.364,6.559,6.353,2.03,3.188
thoughtful,5.455,7.813,6.75,2.273,2.853
thoughtless,3.882,2.529,4.324,2.206,2.206
threat,5.457,1.943,4.171,3.333,3.824
threatening,5.324,1.882,3.788,3.412,4.212
thrifty,5.065,5.849,6.061,2.938,2.879
thrill,7.485,7.529,6.735,3.543,4.156
thrilling,7.152,7.543,6.286,2.943,3.429
throat,3.886,5.057,5.457,6.457,6.543
throne,6.029,5.971,6.143,6.457,6.471
throw,4.546,4.667,6.121,4.909,5.091
thrust,6.771,4.857,6.353,4.382,4.743
thumb,3.529,5.206,5.882,6.559,6.743
ticket,4.788,5.457,5.412,6.094,6
ticket (admission),4.758,6.029,5.344,6.371,6.343
ticket (parking),3.722,3.029,3.943,6.5,6.294
tickle,6.688,6.75,4.419,4.394,5.094
ticklish,6.353,6.242,3.546,4.152,4.824
tidy,5.294,7.314,5.667,4.257,5.485
tie,3.5,4.909,5.212,6.438,6.677
tie (bind),5,4.677,4.529,5.324,5.571
